Distribution,Sample Size,Bin Count,HDEM_MSE,HDEM_MAE,HDEM_Normalized MSE,HDEM_Normalized MAE,HDEM_IMSE,HDEM_MISE,HDEM_MIAE,HDEM_AMISE,Hist_MSE,Hist_MAE,Hist_Normalized MSE,Hist_Normalized MAE,Hist_IMSE,Hist_MISE,Hist_MIAE,Hist_AMISE
beta,1000,20,1.7908152504480604e-05,0.0019952036876380525,1.7908152504480604e-08,1.9952036876380525e-06,1.7908152504480604e-05,7.73278222203964e-07,8.615336283994272e-05,5.663055059980742e-07,9.800731169754854e-34,2.082752373344654e-17,9.800731169754855e-37,2.082752373344654e-20,9.800731169754854e-34,4.2319786886731216e-35,8.993373560718133e-19,3.0992633231431687e-35
beta,1000,25,7.91798003234873e-06,0.0013270845043299765,7.91798003234873e-09,1.3270845043299766e-06,7.91798003234873e-06,2.735201868011429e-07,4.584305593627069e-05,2.503885136995569e-07,6.803366336457524e-34,2.001003529539247e-17,6.803366336457524e-37,2.001003529539247e-20,6.803366336457524e-34,2.3501676230831286e-35,6.912304109801723e-19,2.1514133379721218e-35
beta,1000,30,5.116462633781256e-06,0.0012822172741857691,5.116462633781256e-09,1.2822172741857691e-06,5.116462633781256e-06,1.4728670376740356e-07,3.6910961604908125e-05,1.6179675485892734e-07,2.952481324331334e-34,9.69276742202041e-18,2.9524813243313343e-37,9.69276742202041e-21,2.952481324331334e-34,8.499255703040324e-36,2.790239792914111e-19,9.33656573399733e-36
beta,1000,50,3.2967456087497605e-06,0.001096961966097635,3.2967456087497607e-09,1.096961966097635e-06,3.2967456087497605e-06,5.694169921224218e-08,1.894682991463494e-05,1.0425224989807572e-07,5.5712413697900215e-34,1.556046957951196e-17,5.571241369790022e-37,1.556046957951196e-20,5.5712413697900215e-34,9.62270032226388e-36,2.687618893147874e-19,1.7617812123092865e-35
beta,1000,100,2.0577678196541537e-06,0.0010957092926089447,2.0577678196541535e-09,1.0957092926089447e-06,2.0577678196541537e-06,1.7770979344659563e-08,9.462596810352347e-06,6.507233205905724e-08,5.400498464344383e-34,1.4309300272463686e-17,5.400498464344383e-37,1.4309300272463686e-20,5.400498464344383e-34,4.6638957876627515e-36,1.235757878754377e-19,1.7077875647569883e-35
beta,5000,10,8.356131703327932e-07,0.000526197774034751,1.6712263406655864e-10,1.0523955480695019e-07,8.356131703327932e-07,7.728615780071301e-08,4.866821831235288e-05,1.1817354783822154e-08,2.6446224885025792e-33,3.029260869924499e-17,5.289244977005158e-37,6.058521739848998e-21,2.6446224885025792e-33,2.446020697451702e-34,2.8017740974483308e-18,3.740060990597232e-35
beta,5000,15,1.4330528455561066e-05,0.0021156765123075765,2.866105691112213e-09,4.231353024615153e-07,1.4330528455561066e-05,8.836237650833934e-07,0.00013045311282838733,2.0266427697828022e-07,1.6430033437394216e-33,2.3050138187041824e-17,3.2860066874788434e-37,4.610027637408365e-21,1.6430033437394216e-33,1.0130797375279293e-34,1.4212769580470416e-18,2.323557611740634e-35
beta,5000,20,1.303333966766321e-05,0.0016937102921702196,2.606667933532642e-09,3.387420584340439e-07,1.303333966766321e-05,6.027290988150313e-07,7.832593211594944e-05,1.8431925721024557e-07,1.2707129564561438e-33,2.21787106909066e-17,2.5414259129122875e-37,4.43574213818132e-21,1.2707129564561438e-33,5.876434548833603e-35,1.0256583998018508e-18,1.7970594969034907e-35
beta,5000,25,1.2555472862971623e-05,0.0014416478602087392,2.5110945725943243e-09,2.8832957204174784e-07,1.2555472862971623e-05,4.6450405110955115e-07,5.333540828360984e-05,1.775612000482182e-07,1.3404100956720301e-33,2.368331225577336e-17,2.6808201913440604e-37,4.7366624511546715e-21,1.3404100956720301e-33,4.95900016178631e-35,8.761911722929324e-19,1.8956261364412028e-35
beta,5000,30,7.863141977968123e-06,0.0011786652682857356,1.5726283955936247e-09,2.3573305365714713e-07,7.863141977968123e-06,2.4242159462239614e-07,3.633838924242565e-05,1.1120162028107725e-07,9.00058612414554e-34,2.088444434750203e-17,1.800117224829108e-37,4.1768888695004055e-21,9.00058612414554e-34,2.774891318082746e-35,6.438698825113156e-19,1.2728750966073712e-35
beta,5000,50,3.0841393564616964e-06,0.0007460231064547949,6.168278712923393e-10,1.49204621290959e-07,3.0841393564616964e-06,5.7050628076615354e-08,1.3799988218347654e-05,4.3616317061567606e-08,8.506834709635612e-34,2.072072981945672e-17,1.7013669419271224e-37,4.1441459638913436e-21,8.506834709635612e-34,1.573600304771737e-35,3.8329352658112937e-19,1.2030481019232871e-35
beta,5000,100,8.850624875271081e-07,0.0005064829435342175,1.770124975054216e-10,1.012965887068435e-07,8.850624875271081e-07,8.185974264535501e-09,4.684478666338579e-06,1.2516673734085045e-08,9.004138688478916e-34,2.22535206408081e-17,1.8008277376957834e-37,4.4507041281616196e-21,9.004138688478916e-34,8.32795973357071e-36,2.0582359983411362e-19,1.2733775050735175e-35
beta,10000,10,2.869843713411315e-07,0.00025721120563103214,2.8698437134113146e-11,2.5721120563103213e-08,2.869843713411315e-07,2.706161062159277e-08,2.4254106458025834e-05,2.8698437134113146e-09,4.367619790141258e-34,1.1600963245594897e-17,4.3676197901412585e-38,1.1600963245594897e-21,4.367619790141258e-34,4.1185108984025504e-35,1.0939297799409583e-18,4.3676197901412584e-36
beta,10000,15,6.164331138128732e-06,0.0012937557023745831,6.164331138128732e-10,1.293755702374583e-07,6.164331138128732e-06,3.87516407770532e-07,8.1331056213997e-05,6.164331138128732e-08,2.8588355668730765e-34,7.997798025701404e-18,2.8588355668730764e-38,7.9977980257014045e-22,2.8588355668730765e-34,1.7971871796906567e-35,5.02776033854484e-19,2.8588355668730765e-36
beta,10000,20,9.269064545267183e-06,0.001405682044013627,9.269064545267183e-10,1.4056820440136271e-07,9.269064545267183e-06,4.370199923748962e-07,6.62754211232711e-05,9.269064545267183e-08,8.106956951551206e-34,2.04453424676454e-17,8.106956951551206e-38,2.04453424676454e-21,8.106956951551206e-34,3.8222867559591417e-35,9.639617208054495e-19,8.106956951551206e-36
beta,10000,25,5.908242753452287e-06,0.0010038272891553992,5.908242753452286e-10,1.0038272891553991e-07,5.908242753452287e-06,2.22850553296116e-07,3.7862944387535056e-05,5.908242753452287e-08,9.701445390401353e-34,2.2917865521998592e-17,9.701445390401353e-38,2.2917865521998593e-21,9.701445390401353e-34,3.6592478732525305e-35,8.644294462950272e-19,9.701445390401353e-36
beta,10000,30,5.037579140483727e-06,0.0008774980337558612,5.037579140483727e-10,8.774980337558611e-08,5.037579140483727e-06,1.5834196189634116e-07,2.7581653081829873e-05,5.037579140483727e-08,3.332116041137023e-34,1.1732874509913967e-17,3.332116041137023e-38,1.1732874509913967e-21,3.332116041137023e-34,1.0473558360201607e-35,3.687895151171673e-19,3.332116041137023e-36
beta,10000,50,2.0466685754542336e-06,0.0005270076086444066,2.0466685754542334e-10,5.270076086444066e-08,2.0466685754542336e-06,3.859872076068995e-08,9.938990498405342e-06,2.0466685754542335e-08,1.1361265160407912e-33,2.3122779732598354e-17,1.1361265160407912e-37,2.3122779732598355e-21,1.1361265160407912e-33,2.1426541975288492e-35,4.360792601271181e-19,1.1361265160407912e-35
beta,10000,100,5.833053677268184e-07,0.0003415354778858964,5.833053677268184e-11,3.415354778858964e-08,5.833053677268184e-07,5.500363194393145e-09,3.2205586920346256e-06,5.833053677268184e-09,8.466235338810117e-34,1.9757145138660225e-17,8.466235338810117e-38,1.9757145138660225e-21,8.466235338810117e-34,7.983360316764789e-36,1.8630288689176727e-19,8.466235338810117e-36
beta,50000,10,4.982256790236848e-07,0.00036623668179286916,9.964513580473696e-12,7.324733635857383e-09,4.982256790236848e-07,4.5684035328690125e-08,3.358150776666874e-05,2.2281329728659004e-09,2.4899521173157335e-33,3.5681093496497953e-17,4.979904234631467e-38,7.13621869929959e-22,2.4899521173157335e-33,2.2831231966426048e-34,3.271722844664572e-18,1.1135404390075023e-35
beta,50000,15,1.1621882850234542e-05,0.0018131489890068002,2.3243765700469085e-10,3.6262979780136e-08,1.1621882850234542e-05,7.104337506334127e-07,0.0001108359336707034,5.197464015932689e-08,8.134328827299414e-34,1.8463962997428142e-17,1.626865765459883e-38,3.6927925994856283e-22,8.134328827299414e-34,4.972431586287403e-35,1.1286830759574123e-18,3.6377824418355274e-36
beta,50000,20,1.0117558536642587e-05,0.0014899783433732663,2.0235117073285175e-10,2.9799566867465327e-08,1.0117558536642587e-05,4.638569639102219e-07,6.831063325663272e-05,4.524709730853224e-08,1.0627340266621027e-33,1.8856986284954137e-17,2.1254680533242054e-38,3.7713972569908275e-22,1.0627340266621027e-33,4.872287887104735e-35,8.6453113910405e-19,4.752691051237071e-36
beta,50000,25,8.174515633626483e-06,0.001198502264165958,1.6349031267252965e-10,2.397004528331916e-08,8.174515633626483e-06,2.9981984207102186e-07,4.3957926765207856e-05,3.6557545279847165e-08,2.3053245664717695e-34,9.268844372578577e-18,4.610649132943539e-39,1.8537688745157153e-22,2.3053245664717695e-34,8.455327244085064e-36,3.3995695653646213e-19,1.0309724881662218e-36
beta,50000,30,6.507499850304095e-06,0.0009765623682476749,1.301499970060819e-10,1.95312473649535e-08,6.507499850304095e-06,1.9889838787200513e-07,2.984812680277715e-05,2.9102424057699323e-08,5.96770276170422e-34,1.990369313230785e-17,1.193540552340844e-38,3.98073862646157e-22,5.96770276170422e-34,1.8239976733104578e-35,6.083461494862942e-19,2.668837808936773e-36
beta,50000,50,2.350872729439533e-06,0.0005858202079827573,4.7017454588790656e-11,1.1716404159655148e-08,2.350872729439533e-06,4.3111929933207766e-08,1.074317611656971e-05,1.0513422458954534e-08,8.094487830940011e-34,1.923984517711308e-17,1.6188975661880022e-38,3.847969035422616e-22,8.094487830940011e-34,1.4844231584407623e-35,3.5283358678426464e-19,3.619965006605338e-36
beta,50000,100,5.781323693854527e-07,0.00028905083021641114,1.1562647387709054e-11,5.781016604328223e-09,5.781323693854527e-07,5.301095607801621e-09,2.6504070133980377e-06,2.5854865558777813e-09,8.54761536028669e-34,2.0999945760189626e-17,1.709523072057338e-38,4.199989152037925e-22,8.54761536028669e-34,7.837604092598935e-36,1.9255576426510784e-19,3.822609798224479e-36
beta,100000,10,4.220344061358366e-07,0.00038177384624353805,4.220344061358366e-12,3.81773846243538e-09,4.220344061358366e-07,3.938225276375757e-08,3.5625327918207005e-05,1.3345899743457847e-09,6.223208152575288e-34,1.9103642279194587e-17,6.223208152575289e-39,1.9103642279194587e-22,6.223208152575288e-34,5.807203225684725e-35,1.782661456055543e-18,1.9679512115466564e-36
beta,100000,15,1.3972861074511353e-05,0.001997041281743051,1.3972861074511355e-10,1.997041281743051e-08,1.3972861074511353e-05,8.692541629606071e-07,0.00012423629194495813,4.418606642456359e-08,3.696663287949908e-34,1.3950067952646823e-17,3.696663287949908e-39,1.3950067952646823e-22,3.696663287949908e-34,2.2997007806624005e-35,8.678361988112495e-19,1.1689875732648582e-36
beta,100000,20,1.181818297512676e-05,0.0016201734978818696,1.181818297512676e-10,1.6201734978818697e-08,1.181818297512676e-05,5.514084424967186e-07,7.55934602571103e-05,3.7372376006025626e-08,5.7771227401176156e-34,1.6246769554695283e-17,5.7771227401176155e-39,1.6246769554695284e-22,5.7771227401176156e-34,2.695468718791318e-35,7.5803580927901e-19,1.8268866181124668e-36
beta,100000,25,8.073337761422964e-06,0.001213685299496728,8.073337761422964e-11,1.2136852994967279e-08,8.073337761422964e-06,3.013462634752231e-07,4.530214650324289e-05,2.553013564594163e-08,8.585814411825834e-35,5.951727825859177e-18,8.585814411825834e-40,5.951727825859176e-23,8.585814411825834e-35,3.2047502140420934e-36,2.2215482549414087e-19,2.715072910886855e-37
beta,100000,30,6.54415958233039e-06,0.0009983565954950306,6.544159582330391e-11,9.983565954950305e-09,6.54415958233039e-06,2.03556663509523e-07,3.105397034027203e-05,2.0694449651780223e-08,6.207106941152229e-34,1.6907229378101037e-17,6.207106941152229e-39,1.6907229378101037e-22,6.207106941152229e-34,1.9307261124855001e-35,5.259008674985399e-19,1.9628595614281775e-36
beta,100000,50,2.4725397897173156e-06,0.0005897698674751166,2.4725397897173156e-11,5.8976986747511655e-09,2.4725397897173156e-06,4.6145141510455104e-08,1.100690638283038e-05,7.81885734090049e-09,2.5383184293110412e-34,8.852646263615705e-18,2.538318429311041e-39,8.852646263615705e-23,2.5383184293110412e-34,4.737277175731343e-36,1.6521740773411485e-19,8.026867663403995e-37
beta,100000,100,6.220314520760946e-07,0.0002872304707889351,6.220314520760946e-12,2.872304707889351e-09,6.220314520760946e-07,5.804503025467376e-09,2.6802987712859836e-06,1.9670361648223316e-09,8.32170249231975e-34,1.8913974661645405e-17,8.32170249231975e-39,1.8913974661645404e-22,8.32170249231975e-34,7.76541879554353e-36,1.7649625719199748e-19,2.6315533886030266e-36
gamma,50,10,0.00024252712335832315,0.009201716738197429,4.850542467166463e-06,0.00018403433476394857,0.00024252712335832315,0.00012089678466505021,0.004586942489739736,3.4298514709667326e-05,5.308344409217319e-34,1.700029006457271e-17,1.0616688818434638e-35,3.400058012914542e-19,5.308344409217319e-34,2.6461443243232414e-34,8.474435266126722e-18,7.507132657262527e-35
gamma,50,15,0.00012917542094441367,0.007063202770082352,2.5835084188882735e-06,0.00014126405540164705,0.00012917542094441367,4.2928237836339435e-05,0.0023472797393156043,1.8268163222484335e-05,1.5407439555097887e-33,3.14563190310461e-17,3.0814879110195774e-35,6.29126380620922e-19,1.5407439555097887e-33,5.120279267020028e-34,1.0453725135539537e-17,2.1789409980263117e-34
gamma,50,20,0.00010279423982911815,0.007947350276858535,2.055884796582363e-06,0.0001589470055371707,0.00010279423982911815,2.5620831405045262e-05,0.0019808281271277445,1.4537300810017146e-05,1.5317161588954735e-33,2.5500435096859063e-17,3.063432317790947e-35,5.100087019371813e-19,1.5317161588954735e-33,3.8177082230173747e-34,6.3558264495950405e-18,2.166173765616001e-34
gamma,50,25,7.368105787821759e-05,0.006842774738494871,1.4736211575643517e-06,0.00013685549476989743,7.368105787821759e-05,1.469164003571689e-05,0.0013644155797766266,1.0420075134137229e-05,1.5113735238578834e-33,2.5396351688300457e-17,3.022747047715767e-35,5.079270337660091e-19,1.5113735238578834e-33,3.0136043660954753e-34,5.0639074406569476e-18,2.137404935251435e-34
gamma,50,30,0.00013059300377065604,0.009871919326914804,2.611860075413121e-06,0.00019743838653829608,0.00013059300377065604,2.1699668112717457e-05,0.0016403434092516563,1.846863970835025e-05,2.0017634359474834e-33,2.856511323775142e-17,4.0035268718949666e-35,5.713022647550284e-19,2.0017634359474834e-33,3.3261814144743385e-34,4.746452405290929e-18,2.8309209997794972e-34
gamma,50,50,9.671904651602455e-05,0.008617279912127082,1.9343809303204907e-06,0.00017234559824254165,9.671904651602455e-05,9.642650749937664e-06,0.0008591215856674925,1.3678138732275615e-05,2.878302301886724e-33,2.8727020762175923e-17,5.756604603773448e-35,5.745404152435185e-19,2.878302301886724e-33,2.869596511710537e-34,2.8640132246338467e-18,4.070534151937903e-34
gamma,50,100,6.096345409911914e-05,0.006602549340212858,1.2192690819823828e-06,0.00013205098680425716,6.096345409911914e-05,3.0389531202122934e-06,0.00032912895463850365,8.621534359608393e-06,4.020739870772927e-33,3.112093915902392e-17,8.041479741545854e-35,6.224187831804784e-19,4.020739870772927e-33,2.004289316675039e-34,1.5513404966766673e-18,5.686184856021319e-34
gamma,100,10,0.00018316868941535924,0.007999999999999997,1.8316868941535923e-06,7.999999999999997e-05,0.00018316868941535924,8.951198326152568e-05,0.003909488397705151,1.8316868941535925e-05,1.9813004302883688e-33,3.538835890992686e-17,1.9813004302883688e-35,3.5388358909926862e-19,1.9813004302883688e-33,9.682338805725755e-34,1.72937973215231e-17,1.981300430288369e-34
gamma,100,15,7.100943619959697e-05,0.004000000000000003,7.100943619959698e-07,4.0000000000000024e-05,7.100943619959697e-05,2.3134213912492384e-05,0.0013031627992350517,7.100943619959698e-06,1.2961909761131178e-33,2.7408630920433553e-17,1.2961909761131178e-35,2.740863092043355e-19,1.2961909761131178e-33,4.2228696519369585e-34,8.929477048368138e-18,1.296190976113118e-34
gamma,100,20,5.6616047159952235e-05,0.002999999999999989,5.661604715995223e-07,2.999999999999989e-05,5.6616047159952235e-05,1.3833736218485064e-05,0.0007330290745697133,5.6616047159952235e-06,1.8672492663941873e-33,2.9663771439203404e-17,1.8672492663941873e-35,2.9663771439203404e-19,1.8672492663941873e-33,4.562493339119708e-34,7.248135642108948e-18,1.8672492663941872e-34
gamma,100,25,5.372444737604552e-05,0.004400983887460958,5.372444737604552e-07,4.400983887460958e-05,5.372444737604552e-05,1.050175518448855e-05,0.0008602797723257967,5.372444737604552e-06,4.593342917363557e-34,1.3739009929736312e-17,4.593342917363557e-36,1.373900992973631e-19,4.593342917363557e-34,8.978810421056982e-35,2.6856249958129997e-18,4.5933429173635573e-35
gamma,100,30,3.217594415068382e-05,0.003535522763353585,3.217594415068382e-07,3.535522763353585e-05,3.217594415068382e-05,5.241311680929473e-06,0.0005759202176313875,3.217594415068382e-06,8.46406087017682e-34,2.1741867565575982e-17,8.46406087017682e-36,2.174186756557598e-19,8.46406087017682e-34,1.3787561570594357e-34,3.541649124669219e-18,8.46406087017682e-35
gamma,100,50,3.4654369644263546e-05,0.004765519490811696,3.465436964426355e-07,4.765519490811696e-05,3.4654369644263546e-05,3.387021401350849e-06,0.0004657685789591523,3.4654369644263546e-06,1.4015955170278109e-33,2.005340338229189e-17,1.4015955170278107e-35,2.0053403382291891e-19,1.4015955170278109e-33,1.3698803530239452e-34,1.9599636964392854e-18,1.401595517027811e-34
gamma,100,100,2.2457254421185913e-05,0.0038598807834242226,2.2457254421185914e-07,3.859880783424223e-05,2.2457254421185913e-05,1.0974546950492384e-06,0.00018862698924152591,2.2457254421185915e-06,1.8856659714873902e-33,2.4667767828390198e-17,1.8856659714873903e-35,2.4667767828390196e-19,1.8856659714873902e-33,9.214986546846709e-35,1.2054794015296988e-18,1.8856659714873902e-34
gamma,500,10,1.9129497911323953e-06,0.0007999999999999983,3.82589958226479e-09,1.5999999999999965e-06,1.9129497911323953e-06,1.4542330824027541e-06,0.0006081636179449954,8.55497154103212e-08,1.259377627696966e-33,2.5153490401663703e-17,2.5187552553939318e-36,5.030698080332741e-20,1.259377627696966e-33,9.573845680239674e-34,1.9121797158275683e-17,5.632107969745675e-35
