Distribution,Sample Size,Bin Count,CI_HDEM_MSE_Mean,CI_HDEM_MSE_Lower,CI_HDEM_MSE_Upper,CI_HDEM_MAE_Mean,CI_HDEM_MAE_Lower,CI_HDEM_MAE_Upper,CI_HDEM_Normalized MSE_Mean,CI_HDEM_Normalized MSE_Lower,CI_HDEM_Normalized MSE_Upper,CI_HDEM_Normalized MAE_Mean,CI_HDEM_Normalized MAE_Lower,CI_HDEM_Normalized MAE_Upper,CI_HDEM_IMSE_Mean,CI_HDEM_IMSE_Lower,CI_HDEM_IMSE_Upper,CI_HDEM_MISE_Mean,CI_HDEM_MISE_Lower,CI_HDEM_MISE_Upper,CI_HDEM_MIAE_Mean,CI_HDEM_MIAE_Lower,CI_HDEM_MIAE_Upper,CI_HDEM_AMISE_Mean,CI_HDEM_AMISE_Lower,CI_HDEM_AMISE_Upper
beta,100,25,5.307784359547822e-05,3.3692552049593744e-05,7.24631351413627e-05,0.0052258593267348035,0.004078794424056894,0.006372924229412713,5.307784359547822e-07,3.3692552049593736e-07,7.246313514136271e-07,5.2258593267348036e-05,4.078794424056895e-05,6.372924229412712e-05,5.307784359547822e-05,3.3692552049593744e-05,7.24631351413627e-05,1.4451107107566571e-06,9.410794689663523e-07,1.949141952546962e-06,0.0001431764463791838,0.00011358481391294766,0.00017276807884541992,5.307784359547822e-06,3.369255204959374e-06,7.24631351413627e-06
beta,100,30,4.772952283818889e-05,3.7127351876876356e-05,5.8331693799501426e-05,0.005120923599267929,0.004416573685588827,0.005825273512947031,4.77295228381889e-07,3.712735187687636e-07,5.833169379950143e-07,5.1209235992679294e-05,4.416573685588827e-05,5.8252735129470315e-05,4.772952283818889e-05,3.7127351876876356e-05,5.8331693799501426e-05,1.0946745752447407e-06,8.706048306062039e-07,1.3187443198832776e-06,0.00011791700652237532,0.00010225939793109598,0.00013357461511365467,4.772952283818889e-06,3.7127351876876356e-06,5.833169379950143e-06
beta,100,50,3.539700059993818e-05,2.851378449677155e-05,4.228021670310482e-05,0.004655784338866293,0.004028397045245966,0.00528317163248662,3.539700059993818e-07,2.8513784496771543e-07,4.228021670310481e-07,4.655784338866294e-05,4.0283970452459664e-05,5.2831716324866214e-05,3.539700059993818e-05,2.851378449677155e-05,4.228021670310482e-05,4.849016220037801e-07,3.834205747391427e-07,5.863826692684175e-07,6.377177999478191e-05,5.413946339041049e-05,7.340409659915332e-05,3.5397000599938183e-06,2.851378449677155e-06,4.228021670310482e-06
beta,100,100,2.4602308860912763e-05,2.174658132493819e-05,2.7458036396887335e-05,0.003969131917007463,0.003670576741296096,0.00426768709271883,2.460230886091276e-07,2.1746581324938186e-07,2.7458036396887335e-07,3.9691319170074644e-05,3.670576741296098e-05,4.267687092718831e-05,2.4602308860912763e-05,2.174658132493819e-05,2.7458036396887335e-05,1.7945211719590592e-07,1.6092239984419135e-07,1.979818345476205e-07,2.8951516184808192e-05,2.718268153586394e-05,3.072035083375245e-05,2.460230886091276e-06,2.174658132493819e-06,2.7458036396887333e-06
beta,500,10,1.1816558385666777e-05,4.832971024821762e-06,1.8800145746511793e-05,0.0018099762502637358,0.0012136724990022578,0.0024062800015252138,2.363311677133355e-08,9.66594204964352e-09,3.760029149302358e-08,3.6199525005274704e-06,2.4273449980045143e-06,4.812560003050427e-06,1.1816558385666777e-05,4.832971024821762e-06,1.8800145746511793e-05,9.045385464649686e-07,4.0792308621549147e-07,1.4011540067144457e-06,0.00014181318760896137,0.00010085510279276669,0.00018277127242515606,5.284525562089217e-07,2.1613703489576552e-07,8.407680775220779e-07
beta,500,15,5.029597617419296e-06,2.514419667567182e-06,7.54477556727141e-06,0.0011560559482392235,0.0007789794904591636,0.0015331324060192833,1.0059195234838591e-08,5.028839335134363e-09,1.508955113454282e-08,2.3121118964784472e-06,1.5579589809183273e-06,3.066264812038567e-06,5.029597617419296e-06,2.514419667567182e-06,7.54477556727141e-06,2.6984221399102523e-07,1.349009750368598e-07,4.0478345294519065e-07,6.23817433466224e-05,4.1635157166978966e-05,8.312832952626583e-05,2.249304434404105e-07,1.1244826601285281e-07,3.374126208679682e-07
beta,500,20,8.879006025278837e-06,4.292194716120802e-06,1.346581733443687e-05,0.0017180807883319272,0.0012630454225531732,0.0021731161541106814,1.7758012050557673e-08,8.584389432241602e-09,2.6931634668873743e-08,3.4361615766638542e-06,2.526090845106346e-06,4.346232308221363e-06,8.879006025278837e-06,4.292194716120802e-06,1.346581733443687e-05,3.6076897121653925e-07,1.7556603481721947e-07,5.45971907615859e-07,6.995312601906098e-05,5.053969289411627e-05,8.936655914400568e-05,3.9708122090307385e-07,1.9195278315823044e-07,6.022096586479172e-07
beta,500,25,6.18126685002278e-06,2.2203415201339655e-06,1.0142192179911594e-05,0.0015652116755684917,0.0010723033108690034,0.00205812004026798,1.236253370004556e-08,4.440683040267928e-09,2.028438435982319e-08,3.1304233511369837e-06,2.1446066217380075e-06,4.1162400805359595e-06,6.18126685002278e-06,2.2203415201339655e-06,1.0142192179911594e-05,1.9704642092895532e-07,6.678346637771875e-08,3.273093754801919e-07,4.974407696519597e-05,3.3521869008061684e-05,6.596628492233026e-05,2.764346572743386e-07,9.92966914456952e-08,4.5357262310298204e-07
beta,500,30,6.299825004850014e-06,3.1995680165456225e-06,9.400081993154406e-06,0.001714618786072064,0.001277184605756561,0.002152052966387567,1.2599650009700027e-08,6.399136033091245e-09,1.880016398630881e-08,3.4292375721441282e-06,2.5543692115131223e-06,4.304105932775134e-06,6.299825004850014e-06,3.1995680165456225e-06,9.400081993154406e-06,1.7224207734158436e-07,8.423972449307871e-08,2.6024443019009e-07,4.66767002520184e-05,3.423255093142519e-05,5.9120849572611605e-05,2.8173673914395146e-07,1.4308903167260364e-07,4.203844466152993e-07
beta,500,50,4.795461172354682e-06,3.676284930018804e-06,5.914637414690559e-06,0.0016306676632210654,0.0014214289559791962,0.0018399063704629347,9.590922344709363e-09,7.352569860037608e-09,1.1829274829381119e-08,3.261335326442131e-06,2.8428579119583926e-06,3.6798127409258692e-06,4.795461172354682e-06,3.676284930018804e-06,5.914637414690559e-06,7.541786850146037e-08,5.823283689152652e-08,9.260290011139422e-08,2.572885796985549e-05,2.2325404132222875e-05,2.9132311807488102e-05,2.1445954329691807e-07,1.6440846016360208e-07,2.6451062643023405e-07
beta,500,100,3.951910747364034e-06,3.347641868371706e-06,4.556179626356361e-06,0.0015553709059805665,0.0014419100749555112,0.0016688317370056219,7.903821494728067e-09,6.695283736743412e-09,9.112359252712723e-09,3.110741811961133e-06,2.8838201499110224e-06,3.337663474011243e-06,3.951910747364034e-06,3.347641868371706e-06,4.556179626356361e-06,3.1781224282555544e-08,2.5870511191948155e-08,3.769193737316293e-08,1.2430205614155352e-05,1.1236265633398128e-05,1.3624145594912576e-05,1.7673482144235956e-07,1.4971109564007075e-07,2.0375854724464836e-07
beta,1000,10,3.4889220372327553e-06,1.0663248041301958e-06,5.911519270335315e-06,0.0009952773588854486,0.0006512290526833264,0.0013393256650875709,3.4889220372327553e-09,1.0663248041301963e-09,5.911519270335314e-09,9.952773588854487e-07,6.512290526833264e-07,1.339325665087571e-06,3.4889220372327553e-06,1.0663248041301958e-06,5.911519270335315e-06,2.8693712700523705e-07,9.582214965784277e-08,4.780521043526313e-07,8.267448704504564e-05,5.59158253659186e-05,0.00010943314872417269,1.1032940216410293e-07,3.372015106584342e-08,1.8693865326236244e-07
beta,1000,15,1.0102603432403937e-05,3.4232637288910757e-06,1.6781943135916798e-05,0.0015721843078146836,0.001072872631589766,0.002071495984039601,1.0102603432403937e-08,3.4232637288910754e-09,1.67819431359168e-08,1.5721843078146834e-06,1.0728726315897656e-06,2.071495984039601e-06,1.0102603432403937e-05,3.4232637288910757e-06,1.6781943135916798e-05,5.68947930185283e-07,1.8896474119050487e-07,9.489311191800613e-07,8.838511135940292e-05,5.948323670336565e-05,0.00011728698601544018,3.1947237143831357e-07,1.0825310414736954e-07,5.306916387292576e-07
beta,1000,20,6.877427783583938e-06,1.6365577552792743e-06,1.2118297811888602e-05,0.0012351784434806866,0.0009032010357906907,0.0015671558511706825,6.877427783583937e-09,1.6365577552792731e-09,1.2118297811888602e-08,1.2351784434806864e-06,9.032010357906906e-07,1.5671558511706823e-06,6.877427783583938e-06,1.6365577552792743e-06,1.2118297811888602e-05,2.8736150870875875e-07,4.989106191446094e-08,5.248319555030566e-07,5.061741452416154e-05,3.5021636310270115e-05,6.621319273805296e-05,2.1748336239448818e-07,5.1752500290949583e-08,3.832142244980268e-07
beta,1000,25,3.0855397924949055e-06,1.7250108866272005e-06,4.446068698362611e-06,0.0009132844770890012,0.0007325591377868517,0.0010940098163911508,3.085539792494906e-09,1.725010886627201e-09,4.446068698362611e-09,9.132844770890014e-07,7.325591377868519e-07,1.094009816391151e-06,3.0855397924949055e-06,1.7250108866272005e-06,4.446068698362611e-06,1.0530161698389241e-07,5.861621794407932e-08,1.519870160237055e-07,3.111916170135653e-05,2.4758926331268198e-05,3.747939707144487e-05,9.757333555367219e-08,5.454963390328447e-08,1.405970372040599e-07
